Thomas_100000_9900_5 0 4 7 0 0 0 0 14 14 0 10
Jessica_100000_9900_5 2 4 12 0 0 0 5 14 5 15 8
Laverne_100000_9900_5 0 4 0 0 0 0 0 0 14 0 0
Irene_100000_9900_5 1 3 0 0 0 36 0 12 0 0 2
Annette_100000_9900_5 1 3 0 0 0 4 0 19 0 0 9
Dorothy_100000_9900_5 0 2 0 0 0 0 0 0 0 0 0
Raymond_100000_9900_5 1 3 0 0 0 4 0 3 10 0 11
Anthony_100000_9900_5 1 3 5 5 0 16 18 8 15 0 15
Nelson_100000_9900_5 2 4 3 0 0 0 5 0 5 15 8
Eric_100000_9900_5 1 3 7 0 0 4 7 12 0 0 6
Erika_100000_9900_5 2 2 9 5 0 0 0 5 0 7 8
Patricia_100000_9900_5 0 2 0 0 0 0 0 0 8 0 0
Judith_100000_9900_5 0 2 0 0 0 0 0 0 8 0 0
Sandra_100000_9900_5 0 4 7 0 0 0 0 14 14 0 3
Napoleon_100000_9900_5 1 3 20 0 0 0 0 41 21 0 6
Dolores_100000_9900_5 2 3 13 7 0 0 0 16 0 15 13
Eloisa_100000_9900_5 1 3 0 0 0 4 0 12 0 0 6
Gerald_100000_9900_5 0 3 14 0 0 9 13 37 11 0 7
Diane_100000_9900_5 1 3 0 0 0 4 0 12 0 0 7
Patrick_100000_9900_5 1 2 0 0 6 3 0 8 6 0 4
Nicole_100000_9900_5 1 3 0 0 0 4 0 12 0 0 6
Alvin_100000_9900_5 0 3 5 0 0 0 0 15 13 0 2
Travis_100000_9900_5 2 2 5 10 5 0 0 6 0 9 0
Tommy_100000_9900_5 0 4 0 0 0 0 0 0 14 0 0
Timothy_100000_9900_5 1 3 0 0 0 4 45 12 0 0 11
Paul_100000_9900_5 2 3 15 14 7 0 0 7 0 15 13
Elmer_100000_9900_5 2 3 8 7 0 0 0 7 0 27 8
Tonya_100000_9900_5 1 3 0 0 0 4 0 12 0 0 6
Della_100000_9900_5 1 3 0 0 0 4 0 19 0 0 12
Vern_100000_9900_5 1 2 0 0 0 19 0 2 0 0 1
Bobby_100000_9900_5 1 2 0 0 0 3 0 8 0 0 4
Kevin_100000_9900_5 2 2 5 10 5 0 0 11 0 10 2
Sara_100000_9900_5 0 2 0 0 0 0 0 0 9 0 0
Brenda_100000_9900_5 0 4 0 0 0 0 0 0 14 0 0
Edith_100000_9900_5 0 2 0 0 0 0 0 0 10 0 0
Jonathan_100000_9900_5 0 4 0 0 0 0 0 0 14 0 0
Cole_100000_9900_5 1 2 0 0 0 0 0 3 2 0 7
Howard_100000_9900_5 2 4 3 0 0 7 5 9 5 15 8
Rudolf_100000_9900_5 2 3 5 7 7 0 0 29 0 5 5
Vincent_100000_9900_5 1 2 0 0 6 3 0 2 13 0 1
Elda_100000_9900_5 1 2 0 0 0 3 0 8 0 0 4
Shawn_100000_9900_5 0 3 10 0 0 0 0 10 13 0 2
Jeff_100000_9900_5 2 5 4 0 0 0 7 12 0 22 11
Katie_100000_9900_5 2 4 18 10 0 0 0 23 0 14 16
Janice_100000_9900_5 1 2 0 0 0 3 0 13 0 0 4
Joseph_100000_9900_5 0 3 0 0 0 0 0 0 13 0 0
Debra_100000_9900_5 1 2 0 0 0 3 0 2 0 0 7
Rachel_100000_9900_5 0 2 0 0 0 0 0 0 11 0 0
Lorraine_100000_9900_5 0 2 0 0 0 0 0 0 9 0 0
Janet_100000_9900_5 0 4 0 0 0 0 0 0 0 0 0
Charles_100000_9900_5 0 2 0 0 0 0 0 0 9 0 0
Michael_100000_9900_5 1 2 0 0 0 3 0 2 0 0 1
Constance_100000_9900_5 2 4 3 0 0 0 5 0 5 15 8
Selma_100000_9900_5 1 2 0 0 0 14 10 2 0 0 11
Genevieve_100000_9900_5 0 3 0 0 0 0 0 0 13 0 0
Helen_100000_9900_5 0 4 7 0 0 0 0 21 14 0 10
Brian_100000_9900_5 1 3 0 0 0 4 0 3 0 0 6
Gloria_100000_9900_5 0 3 0 0 0 0 0 0 13 0 0
John_100000_9900_5 0 2 0 0 0 0 0 0 9 0 0
Keith_100000_9900_5 0 4 0 0 0 0 0 0 14 0 0
Gustavo_100000_9900_5 0 2 0 0 0 0 0 0 11 0 0
Joshua_100000_9900_5 1 2 0 0 0 3 0 8 0 0 7
